job_id,method,organ,views,status,psnr_2d,ssim_2d,eval_path,output_dir,source,finished_at
FSGS__chest__6views,FSGS,chest,6,missing,,,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/chest_6views/eval/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/chest_6views,bootstrap_csv,2026-03-24T00:32:26Z
FSGS__chest__9views,FSGS,chest,9,missing,,,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/chest_9views/eval/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/chest_9views,bootstrap_csv,2026-03-24T00:32:26Z
FSGS__foot__3views,FSGS,foot,3,missing,,,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/foot_3views/eval/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/foot_3views,bootstrap_csv,2026-03-24T00:32:26Z
FSGS__foot__6views,FSGS,foot,6,missing,,,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/foot_6views/eval/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/foot_6views,bootstrap_csv,2026-03-24T00:32:26Z
FSGS__foot__9views,FSGS,foot,9,missing,,,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/foot_9views/eval/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/foot_9views,bootstrap_csv,2026-03-24T00:32:26Z
FSGS__head__3views,FSGS,head,3,missing,,,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/head_3views/eval/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/head_3views,bootstrap_csv,2026-03-24T00:32:26Z
FSGS__head__6views,FSGS,head,6,missing,,,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/head_6views/eval/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/head_6views,bootstrap_csv,2026-03-24T00:32:26Z
FSGS__head__9views,FSGS,head,9,missing,,,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/head_9views/eval/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/head_9views,bootstrap_csv,2026-03-24T00:32:26Z
FSGS__pancreas__3views,FSGS,pancreas,3,missing,,,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/pancreas_3views/eval/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/pancreas_3views,bootstrap_csv,2026-03-24T00:32:26Z
FSGS__pancreas__6views,FSGS,pancreas,6,missing,,,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/pancreas_6views/eval/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/pancreas_6views,bootstrap_csv,2026-03-24T00:32:26Z
FSGS__pancreas__9views,FSGS,pancreas,9,missing,,,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/pancreas_9views/eval/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/FSGS/pancreas_9views,bootstrap_csv,2026-03-24T00:32:26Z
R2GS__abdomen__3views,R2GS,abdomen,3,completed,29.882369995117188,0.9378087520599365,/root/experiments/results/R2GS/abdomen_3views/test/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/R2GS/abdomen_3views,bootstrap_csv,2026-03-24T00:32:26Z
R2GS__abdomen__6views,R2GS,abdomen,6,completed,34.43251037597656,0.9743404388427734,/root/experiments/results/R2GS/abdomen_6views/test/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/R2GS/abdomen_6views,bootstrap_csv,2026-03-24T00:32:26Z
R2GS__abdomen__9views,R2GS,abdomen,9,completed,36.71306228637695,0.9808001518249512,/root/experiments/results/R2GS/abdomen_9views/test/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/R2GS/abdomen_9views,bootstrap_csv,2026-03-24T00:32:26Z
R2GS__chest__3views,R2GS,chest,3,completed,25.817607879638672,0.8385739922523499,/root/experiments/results/R2GS/chest_3views/test/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/R2GS/chest_3views,bootstrap_csv,2026-03-24T00:32:26Z
R2GS__chest__6views,R2GS,chest,6,completed,33.566566467285156,0.9288938045501709,/root/experiments/results/R2GS/chest_6views/test/iter_30000/eval2d_render_test.yml,/Users/openingcloud/IdeaProjects/PG/r2_gaussian/experiments/matrix_results/R2GS/chest_6views,bootstrap_csv,2026-03-24T00:32:26Z
